"sample","detailed_category","primary disease or tissue","_primary_site","_sample_type","_gender","_study","cancer","sample.type.cancer.info","Grade","Stage","TNM.Metastasis","TNM.Node","TNM.Tumor","Cancer.Type.Detailed","Subtype"
"GTEX-1117F-2826-SM-5GZXL","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-111YS-1926-SM-5GICC","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-117XS-1926-SM-5GICO","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-117YX-1426-SM-5H12H","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-1192X-2326-SM-5987X","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-11DXW-0626-SM-5N9ER","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-11DXZ-1926-SM-5GZZL","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-11EI6-0626-SM-5985T","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-11EM3-1326-SM-5N9C6","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-11EQ9-1826-SM-5Q5AJ","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-11GS4-2126-SM-5A5KR","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-11GSO-1926-SM-5A5K3","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-11I78-2226-SM-5PNYA","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-11ILO-2226-SM-5A5L1","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-11NSD-0926-SM-5N9DR","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-11NV4-2026-SM-5N9DG","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-11OF3-1926-SM-59889","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-11ONC-2126-SM-5HL6E","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-11P7K-0726-SM-5EGKX","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-11P81-1926-SM-5BC53","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-11P82-1326-SM-5HL62","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-11PRG-0826-SM-5EQ6A","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-11TT1-2126-SM-5GU5Y","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-11WQC-1726-SM-5GU4W","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-11WQK-2426-SM-5GU5C","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-1211K-1926-SM-5EQLB","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-1269C-2426-SM-5FQSN","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-12KS4-0126-SM-5Q5A5","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-12WSB-0626-SM-59HJO","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-12WSK-2226-SM-5GCO5","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Female","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
"GTEX-12WSM-1726-SM-5BC6J","BREAST - MAMMARY TISSUE","Breast - Mammary Tissue","Breast","Normal Tissue","Male","GTEX","BRCA","Normal",NA,NA,NA,NA,NA,NA,NA
